nearestid,country,averageincquintile,lengthinmetres,lengthinmetresbeforesimplification,startlat,startlon,endlat,endlon,average2019detachedhouseprice,coastalpopulationdensity
19032Deelis,Ireland,2.5,16277,25283,52.232,-9.9583,52.2575,-9.7242,0,247
19138Blennerville,Ireland,2.7,10768,12925,52.2575,-9.7242,52.2742,-9.8792,0,365
19133Ballynahaglish,Ireland,2.2,12280,32498,52.2742,-9.8792,52.3808,-9.8342,0,268
19149Kerryhead,Ireland,2.1,8891,10947,52.3808,-9.8342,52.4183,-9.9492,0,89
19149Kerryhead,Ireland,1.9,22160,27559,52.4183,-9.9492,52.4695,-9.635,0,78
19110Killehenny,Ireland,1.7,12481,22943,52.4695,-9.635,52.5812,-9.6234,0,138
19100Beal,Ireland,1.8,10593,14472,52.5812,-9.6234,52.5463,-9.4784,0,143
21058Carrig,Ireland,2.8,54319,106475,52.5463,-9.4784,52.6533,-8.6976,0,283
21058Carrig,Ireland,3,18291,26710,52.6533,-8.6976,52.682,-8.9634,0,710
16045Urlan,Ireland,3.8,11817,20969,52.682,-8.9634,52.7879,-8.955,0,465
16075Lisheen,Ireland,3.3,23903,34002,52.7879,-8.955,52.6163,-9.1667,0,238
21123Loghill,Ireland,2.6,10392,13367,52.6163,-9.1667,52.5862,-9.3116,0,106
16068Coolmeen,Ireland,2.2,6449,10072,52.5862,-9.3116,52.6387,-9.2717,0,158
16068Coolmeen,Ireland,2.3,10545,13313,52.6387,-9.2717,52.6021,-9.415,0,120
16093Kilrush Rural,Ireland,1.9,14007,21409,52.6021,-9.415,52.6671,-9.5917,0,96
16098Moyarta,Ireland,1.7,12008,25307,52.6671,-9.5917,52.5812,-9.6984,0,97
16086Kilballyowen,Ireland,1.5,16690,20473,52.5812,-9.6984,52.5575,-9.9409,0,27
16097Moveen,Ireland,1.8,37249,57012,52.5575,-9.9409,52.7533,-9.4959,0,25
16078Cloonadrum,Ireland,1.8,23729,37261,52.7533,-9.4959,52.9433,-9.3375,0,62
16054Ennistimon,Ireland,1.8,9548,12540,52.9433,-9.3375,52.9408,-9.4792,0,92
16051Cloghaun,Ireland,1.7,27281,32758,52.9408,-9.4792,53.1508,-9.2708,0,28
16011Gleninagh,Ireland,3.2,22880,66019,53.1508,-9.2708,53.1388,-8.93,0,78
27093Killeenavarra,Ireland,3.9,8460,18367,53.1388,-8.93,53.2083,-8.8792,0,468
27043Ballynacourty,Ireland,3.7,11349,31865,53.2083,-8.8792,53.2154,-9.0484,0,865
27060Oranmore,Ireland,3.7,9684,27926,53.2154,-9.0484,53.2675,-8.9325,0,1028
27060Oranmore,Ireland,3.8,6932,12507,53.2675,-8.9325,53.2771,-9.035,0,1422
26014Nuns Island,Ireland,3.4,33604,43016,53.2771,-9.035,53.2196,-9.5283,0,303
27054Cill Chuimin,Ireland,1.7,7820,15206,53.2196,-9.5283,53.2871,-9.56,0,100
27152An Crompán,Ireland,1.6,7372,11679,53.2871,-9.56,53.2304,-9.6167,0,103
27149Camas,Ireland,1.7,17214,44565,53.2304,-9.6167,53.3812,-9.5616,0,48
27149Camas,Ireland,1.5,17606,54473,53.3812,-9.5616,53.2912,-9.7783,0,49
27039Scainimh,Ireland,1.2,9487,21865,53.2912,-9.7783,53.3242,-9.9092,0,47
27033An Cnoc Buí,Ireland,1.3,12328,49290,53.3242,-9.9092,53.4271,-9.8417,0,26
27037Cloch na Rón,Ireland,1.2,10262,18978,53.4271,-9.8417,53.3671,-9.9584,0,30
27029Doonloughan,Ireland,1.2,15738,28419,53.3671,-9.9584,53.4083,-10.1841,0,28
27029Doonloughan,Ireland,1.2,12633,35050,53.4083,-10.1841,53.4691,-10.0241,0,37
27038Sillerna,Ireland,1.2,14851,46901,53.4691,-10.0241,53.5571,-10.1917,0,37
27038Sillerna,Ireland,1.6,34820,89381,53.5571,-10.1917,53.6083,-9.6742,0,18
29139Erriff,Ireland,1.6,16758,21505,53.6083,-9.6742,53.6525,-9.9158,0,16
29150/29130Owennadornaun / Bundorragha,Ireland,1.3,12382,14806,53.6525,-9.9158,53.7634,-9.9076,0,25
29147Louisburgh,Ireland,2.3,23927,35486,53.7634,-9.9076,53.8008,-9.5509,0,69
29144Kilmeena,Ireland,2.3,11324,63136,53.8008,-9.5509,53.9012,-9.5767,0,141
29149Newport West,Ireland,2.1,24672,45734,53.9012,-9.5767,53.8708,-9.9476,0,38
29136Dumha Éige,Ireland,1,9842,15861,53.8708,-9.9476,53.9562,-9.91,0,36
29133An Corrán,Ireland,1.1,8771,16179,53.9562,-9.91,53.9125,-9.7992,0,43
29129Ballycroy South,Ireland,1.2,15451,39963,53.9125,-9.7992,54.0333,-9.9142,0,28
29128Ballycroy North,Ireland,1.2,10733,25079,54.0333,-9.9142,54.1183,-9.8375,0,37
29064Cnoc na Ráithe,Ireland,1.1,11399,22029,54.1183,-9.8375,54.0591,-9.9792,0,33
29064Cnoc na Ráithe,Ireland,1.1,7877,14176,54.0591,-9.9792,54.115,-9.9058,0,49
29064Cnoc na Ráithe,Ireland,1.1,13571,33892,54.115,-9.9058,54.2229,-10.0016,0,48
29051An Geata Mór Thuaidh,Ireland,1.1,17028,40429,54.2229,-10.0016,54.0896,-10.1283,0,34
29052An Geata Mór Theas,Ireland,1,16893,24241,54.0896,-10.1283,54.2408,-10.1142,0,26
29051An Geata Mór Thuaidh,Ireland,1,9783,20659,54.2408,-10.1142,54.3029,-10.0084,0,39
29055Béal an Mhuirthead,Ireland,1,8666,19668,54.3029,-10.0084,54.265,-9.8925,0,61
29055Béal an Mhuirthead,Ireland,1.1,7637,21261,54.265,-9.8925,54.2121,-9.9667,0,75
29055Béal an Mhuirthead,Ireland,1.1,14346,30371,54.2121,-9.9667,54.2496,-9.7567,0,45
29061Cnoc na Lobhar,Ireland,1.2,9302,22151,54.2496,-9.7567,54.3008,-9.8692,0,32
29060Cnoc an Daimh,Ireland,1,7041,10582,54.3008,-9.8692,54.3404,-9.7851,0,32
29060Cnoc an Daimh,Ireland,1.1,33654,50952,54.3404,-9.7851,54.3079,-9.2718,0,11
29025Killala,Ireland,1.9,20764,48433,54.3079,-9.2718,54.1371,-9.1451,0,117
31026Kilglass,Ireland,2,18089,24580,54.1371,-9.1451,54.2912,-9.0584,0,134
31039Ballysadare West,Ireland,2.5,36355,53730,54.2912,-9.0584,54.2112,-8.5184,0,112
31038Ballysadare East,Ireland,3,8762,14824,54.2112,-8.5184,54.2525,-8.6326,0,414
31052Kilmacowen,Ireland,3.1,10078,15008,54.2525,-8.6326,54.2741,-8.4826,0,366
31053Knockaree,Ireland,3.4,7104,9658,54.2741,-8.4826,54.3016,-8.5809,0,504
31053Knockaree,Ireland,3.4,5254,12295,54.3016,-8.5809,54.3249,-8.5108,0,621
31048Drumcliff West,Ireland,3.1,11858,22766,54.3249,-8.5108,54.3574,-8.6842,0,268
33007Bundoran Rural,Ireland,2.4,34884,65179,54.3574,-8.6842,54.4975,-8.2041,0,56
33007Bundoran Rural,Ireland,1.4,5425,6540,54.4975,-8.2041,54.5225,-8.2759,0,216
33004Ballintra,Ireland,1.7,17499,36398,54.5225,-8.2759,54.6491,-8.1159,0,122
33017Dunkineely,Ireland,2.1,24674,45236,54.6491,-8.1159,54.5645,-8.4684,0,71
33017Dunkineely,Ireland,2.2,8952,11994,54.5645,-8.4684,54.632,-8.3934,0,70
33017Dunkineely,Ireland,1.9,19048,49759,54.632,-8.3934,54.6162,-8.6867,0,46
33062Málainn Bhig,Ireland,1.2,12239,19860,54.6162,-8.6867,54.6991,-8.8109,0,24
33056Cill Ghabhlaigh,Ireland,1.2,12972,20839,54.6991,-8.8109,54.7703,-8.6518,0,15
33054Inis Caoil,Ireland,1.7,13711,17089,54.7703,-8.6518,54.7541,-8.4409,0,37
33045Dawros,Ireland,1.7,11449,41537,54.7541,-8.4409,54.8312,-8.5584,0,48
33052Na Gleannta,Ireland,1.3,15096,25702,54.8312,-8.5584,54.8399,-8.3242,0,42
33061An Machaire,Ireland,1.3,14389,39292,54.8399,-8.3242,54.9399,-8.4659,0,71
33061An Machaire,Ireland,1.2,6140,10652,54.9399,-8.4659,54.9466,-8.3709,0,123
33064Inis Mhic an Doirn,Ireland,1,10672,22557,54.9466,-8.3709,55.0408,-8.4009,0,100
33039Anagaire,Ireland,1,8019,23872,55.0408,-8.4009,55.0358,-8.2759,0,138
33038Mín an Chladaigh,Ireland,1,13540,27896,55.0358,-8.2759,55.1571,-8.2883,0,83
33036Gort an Choirce,Ireland,1,10255,23775,55.1571,-8.2883,55.1196,-8.1416,0,81
33032Na Croisbhealaí,Ireland,1,15515,24830,55.1196,-8.1416,55.2262,-7.9851,0,64
33033Caisleán na dTuath,Ireland,1.4,13755,41600,55.2262,-7.9851,55.127,-7.8567,0,68
33126Ros Goill,Ireland,1.4,14922,29400,55.127,-7.8567,55.2554,-7.7901,0,56
33123Millford,Ireland,1.5,18443,39717,55.2554,-7.7901,55.0987,-7.6968,0,86
33123Millford,Ireland,1.5,13893,22284,55.0987,-7.6968,55.2233,-7.7059,0,101
33127Rosnakill,Ireland,1.2,6190,11128,55.2233,-7.7059,55.1679,-7.7134,0,117
33113Creamhghort,Ireland,1.2,7529,12228,55.1679,-7.7134,55.2133,-7.8009,0,107
33114Fánaid Thuaidh,Ireland,1.1,12684,21558,55.2133,-7.8009,55.2779,-7.6368,0,44
33114Fánaid Thuaidh,Ireland,1.1,18913,25520,55.2779,-7.6368,55.1216,-7.5209,0,95
33124Rathmelton,Ireland,1.6,21901,39175,55.1216,-7.5209,54.9496,-7.6867,0,261
33106Magheraboy,Ireland,1.7,19438,40020,54.9496,-7.6867,55.0641,-7.4576,0,544
33069Buncrana Rural,Ireland,1.4,25096,36396,55.0641,-7.4576,55.2858,-7.5276,0,262
33067Ballyliffin,Ireland,1.1,17399,36590,55.2858,-7.5276,55.2791,-7.2542,0,76
33066Ardmalin,Ireland,1,14159,20260,55.2791,-7.2542,55.382,-7.3851,0,83
33094Turmone,Ireland,1.2,33556,43616,55.382,-7.3851,55.2366,-6.9225,0,42
95MM02S1,Northern Ireland,2.1,35863,42707,55.2366,-6.9225,55.0062,-7.315,0,338
95MM07W1,Northern Ireland,2.1,17882,25503,55.0062,-7.315,55.0512,-7.0467,0,744
95RR02W1,Northern Ireland,1.8,16767,23212,55.0512,-7.0467,55.1946,-6.9667,0,203
95JJ09W1,Northern Ireland,2,52660,74693,55.1946,-6.9667,55.2279,-6.1417,0,129
95QQ06W1,Northern Ireland,2.4,29135,41425,55.2279,-6.1417,54.9816,-5.9875,0,51
95QQ05W1,Northern Ireland,3.5,27234,64500,54.9816,-5.9875,54.8066,-5.6909,0,245
95GG20S1,Northern Ireland,3.5,25706,38158,54.8066,-5.6909,54.6133,-5.9091,0,2145
95GG20S1,Northern Ireland,3.5,22266,31872,54.6133,-5.9091,54.6762,-5.5817,0,2670
95BB05S2,Northern Ireland,3.2,23412,27814,54.6762,-5.5817,54.485,-5.4308,0,453
95BB15S1,Northern Ireland,2.5,17957,24635,54.485,-5.4308,54.3296,-5.5051,0,116
95BB15S1,Northern Ireland,2.8,22598,39667,54.3296,-5.5051,54.53,-5.5609,0,224
95BB03S2,Northern Ireland,3.4,9673,14351,54.53,-5.5609,54.5812,-5.6817,0,1597
95BB14S1,Northern Ireland,3.4,23509,61881,54.5812,-5.6817,54.37,-5.6826,0,841
95NN22W1,Northern Ireland,3.1,7315,10026,54.37,-5.6826,54.3813,-5.5717,0,477
95NN22W1,Northern Ireland,3.2,8601,13138,54.3813,-5.5717,54.3092,-5.5241,0,300
95NN01S1,Northern Ireland,2.9,13205,21725,54.3092,-5.5241,54.2221,-5.6617,0,175
95NN14S2,Northern Ireland,2.7,12215,20881,54.2221,-5.6617,54.28,-5.8209,0,346
95NN14S2,Northern Ireland,2.6,20242,25770,54.28,-5.8209,54.1033,-5.8942,0,254
95VV04W1,Northern Ireland,2.3,14306,15908,54.1033,-5.8942,54.022,-6.0634,0,141
95VV07S1,Northern Ireland,2.2,17019,25430,54.022,-6.0634,54.1079,-6.2784,0,413
10026Drummullagh,Ireland,2.2,17134,23663,54.1079,-6.2784,53.9779,-6.1384,0,394
10031Jenkinstown,Ireland,2.4,17555,24232,53.9779,-6.1384,54.0133,-6.3992,0,349
10038Dysart,Ireland,3.1,27205,40292,54.0133,-6.3992,53.7942,-6.2159,0,320
10003West Gate,Ireland,4,12070,18521,53.7942,-6.2159,53.7141,-6.3392,0,642
10003West Gate,Ireland,4.3,24894,35500,53.7141,-6.3392,53.5525,-6.0791,0,563
04033Rush,Ireland,4,13010,36653,53.5525,-6.0791,53.4625,-6.2042,0,2616
04032Portmarnock South,Ireland,4.1,15297,27550,53.4625,-6.2042,53.3592,-6.0525,0,2882
02077North Dock B,Ireland,3.9,11996,16741,53.3592,-6.0525,53.3566,-6.2326,0,7308
05052Dún Laoghaire-West Central,Ireland,3.9,13432,27796,53.3566,-6.2326,53.2708,-6.0909,0,7048
15056Kilcoole,Ireland,4.6,34373,41082,53.2708,-6.0909,52.9675,-5.9942,0,849
14050Ford,Ireland,3,73303,86579,52.9675,-5.9942,52.3467,-6.3559,0,131
14092Ardcavan,Ireland,3,10367,21414,52.3467,-6.3559,52.3542,-6.5075,0,393
14100Drinagh,Ireland,2.8,10019,14359,52.3542,-6.5075,52.2771,-6.4317,0,458
14100Drinagh,Ireland,2.7,7776,13054,52.2771,-6.4317,52.3341,-6.3658,0,504
14119St. Helen's,Ireland,2.6,10963,15986,52.3341,-6.3658,52.2408,-6.3143,0,321
14114Lady's Island,Ireland,2.1,8397,9837,52.2408,-6.3143,52.1712,-6.3617,0,84
14114Lady's Island,Ireland,2.6,15634,31083,52.1712,-6.3617,52.1687,-6.5901,0,100
14097Bannow,Ireland,2.5,14268,32064,52.1687,-6.5901,52.2033,-6.7909,0,107
14097Bannow,Ireland,2.4,6983,12581,52.2033,-6.7909,52.2637,-6.7633,0,187
14088Templetown,Ireland,2.6,19325,36619,52.2637,-6.7633,52.1221,-6.9267,0,94
14067Ballyhack,Ireland,3,13550,18707,52.1221,-6.9267,52.2413,-6.9667,0,373
25081Rathmoylan,Ireland,2.9,12880,19656,52.2413,-6.9667,52.1313,-7.025,0,472
25029Dungarvan Rural,Ireland,3.1,42485,75783,52.1313,-7.025,52.1054,-7.6434,0,206
25002Dungarvan No. 2 Urban,Ireland,3.6,9207,21265,52.1054,-7.6434,52.0533,-7.5392,0,205
25020Baile Mhac Airt,Ireland,3.7,7460,8874,52.0533,-7.5392,51.9933,-7.5875,0,217
25020Baile Mhac Airt,Ireland,3.5,11975,15737,51.9933,-7.5875,51.9379,-7.7367,0,110
25090Grange,Ireland,3.3,12000,19657,51.9379,-7.7367,51.9929,-7.8867,0,143
25092Templemichael,Ireland,3.4,12455,28092,51.9929,-7.8867,51.8816,-7.8692,0,177
